Location,Score,TimeFrame,DataFormat,Data
ACADEMY 20,Math,2008,Percent,0.857
ACADEMY 20,Math,2009,Percent,0.824
ACADEMY 20,Math,2010,Percent,0.849
ACADEMY 20,Reading,2008,Percent,0.866
ACADEMY 20,Reading,2009,Percent,0.862
ACADEMY 20,Reading,2010,Percent,0.864
ACADEMY 20,Writing,2008,Percent,0.671
ACADEMY 20,Writing,2009,Percent,0.706
ACADEMY 20,Writing,2010,Percent,0.662
ACADEMY 20,Math,2011,Percent,0.819
ACADEMY 20,Reading,2011,Percent,0.867
ACADEMY 20,Writing,2011,Percent,0.678
ACADEMY 20,Reading,2012,Percent,0.87
ACADEMY 20,Math,2012,Percent,0.83
ACADEMY 20,Writing,2012,Percent,0.65517
ACADEMY 20,Math,2013,Percent,0.8554
ACADEMY 20,Math,2014,Percent,0.8345
ACADEMY 20,Reading,2013,Percent,0.85923
ACADEMY 20,Reading,2014,Percent,0.83101
ACADEMY 20,Writing,2014,Percent,0.63942
ACADEMY 20,Writing,2013,Percent,0.6687
ADAMS COUNTY 14,Math,2008,Percent,0.56
ADAMS COUNTY 14,Math,2009,Percent,0.54
ADAMS COUNTY 14,Math,2010,Percent,0.469
ADAMS COUNTY 14,Reading,2008,Percent,0.523
ADAMS COUNTY 14,Reading,2009,Percent,0.562
ADAMS COUNTY 14,Reading,2010,Percent,0.457
ADAMS COUNTY 14,Writing,2008,Percent,0.426
ADAMS COUNTY 14,Writing,2009,Percent,0.479
ADAMS COUNTY 14,Writing,2010,Percent,0.312
ADAMS COUNTY 14,Math,2011,Percent,0.476
ADAMS COUNTY 14,Reading,2011,Percent,0.571
ADAMS COUNTY 14,Writing,2011,Percent,0.31
ADAMS COUNTY 14,Reading,2012,Percent,0.54
ADAMS COUNTY 14,Math,2012,Percent,0.39
ADAMS COUNTY 14,Writing,2012,Percent,0.28793
ADAMS COUNTY 14,Math,2013,Percent,0.43704
ADAMS COUNTY 14,Math,2014,Percent,0.51241
ADAMS COUNTY 14,Reading,2013,Percent,0.54815
ADAMS COUNTY 14,Reading,2014,Percent,0.4767
ADAMS COUNTY 14,Writing,2014,Percent,0.27469
ADAMS COUNTY 14,Writing,2013,Percent,0.28386
ADAMS-ARAPAHOE 28J,Math,2008,Percent,0.473
ADAMS-ARAPAHOE 28J,Math,2009,Percent,0.456
ADAMS-ARAPAHOE 28J,Math,2010,Percent,0.453
ADAMS-ARAPAHOE 28J,Reading,2008,Percent,0.466
ADAMS-ARAPAHOE 28J,Reading,2009,Percent,0.483
ADAMS-ARAPAHOE 28J,Reading,2010,Percent,0.458
ADAMS-ARAPAHOE 28J,Writing,2008,Percent,0.339
ADAMS-ARAPAHOE 28J,Writing,2009,Percent,0.359
ADAMS-ARAPAHOE 28J,Writing,2010,Percent,0.286
ADAMS-ARAPAHOE 28J,Math,2011,Percent,0.429
ADAMS-ARAPAHOE 28J,Reading,2011,Percent,0.49
ADAMS-ARAPAHOE 28J,Writing,2011,Percent,0.286
ADAMS-ARAPAHOE 28J,Reading,2012,Percent,0.515
ADAMS-ARAPAHOE 28J,Math,2012,Percent,0.471
ADAMS-ARAPAHOE 28J,Writing,2012,Percent,0.34919
ADAMS-ARAPAHOE 28J,Math,2013,Percent,0.48704
ADAMS-ARAPAHOE 28J,Math,2014,Percent,0.49919
ADAMS-ARAPAHOE 28J,Reading,2013,Percent,0.48781
ADAMS-ARAPAHOE 28J,Reading,2014,Percent,0.46357
ADAMS-ARAPAHOE 28J,Writing,2014,Percent,0.32814
ADAMS-ARAPAHOE 28J,Writing,2013,Percent,0.3037
ARCHULETA COUNTY 50 JT,Math,2008,Percent,0.66
