Location,TimeFrame,DataFormat,Data
ACADEMY 20,2010,Percent,0.895
ACADEMY 20,2011,Percent,0.895
ACADEMY 20,2012,Percent,0.88983
ACADEMY 20,2013,Percent,0.91373
ACADEMY 20,2014,Percent,0.898
ADAMS COUNTY 14,2010,Percent,0.57
ADAMS COUNTY 14,2011,Percent,0.608
ADAMS COUNTY 14,2012,Percent,0.63372
ADAMS COUNTY 14,2013,Percent,0.59351
ADAMS COUNTY 14,2014,Percent,0.659
ADAMS-ARAPAHOE 28J,2010,Percent,0.455
ADAMS-ARAPAHOE 28J,2011,Percent,0.485
ADAMS-ARAPAHOE 28J,2012,Percent,0.47984
ADAMS-ARAPAHOE 28J,2013,Percent,0.52627
ADAMS-ARAPAHOE 28J,2014,Percent,0.559
ARCHULETA COUNTY 50 JT,2010,Percent,0.798
ARCHULETA COUNTY 50 JT,2011,Percent,0.818
ARCHULETA COUNTY 50 JT,2012,Percent,0.78333
ARCHULETA COUNTY 50 JT,2013,Percent,0.83333
ARCHULETA COUNTY 50 JT,2014,Percent,0.863
AULT-HIGHLAND RE-9,2010,Percent,0.795
AULT-HIGHLAND RE-9,2011,Percent,0.785
AULT-HIGHLAND RE-9,2012,Percent,0.9322
AULT-HIGHLAND RE-9,2013,Percent,0.82258
AULT-HIGHLAND RE-9,2014,Percent,0.925
BENNETT 29J,2010,Percent,0.851
BENNETT 29J,2011,Percent,0.862
BENNETT 29J,2012,Percent,0.91209
BENNETT 29J,2013,Percent,0.84286
BENNETT 29J,2014,Percent,0.844
BETHUNE R-5,2010,Percent,0.923
BETHUNE R-5,2011,Percent,1
BETHUNE R-5,2012,Percent,1
BETHUNE R-5,2013,Percent,0.88889
BETHUNE R-5,2014,Percent,0.895
BOULDER VALLEY RE 2,2010,Percent,0.847
BOULDER VALLEY RE 2,2011,Percent,0.883
BOULDER VALLEY RE 2,2012,Percent,0.89717
BOULDER VALLEY RE 2,2013,Percent,0.90917
BOULDER VALLEY RE 2,2014,Percent,0.918
BUFFALO RE-4,2010,Percent,1
BUFFALO RE-4,2011,Percent,0.769
BUFFALO RE-4,2012,Percent,1
BUFFALO RE-4,2013,Percent,0.88462
BUFFALO RE-4,2014,Percent,0.962
Colorado,2010,Percent,0.724
Colorado,2011,Percent,0.739
Colorado,2012,Percent,0.75354
Colorado,2013,Percent,0.769
Colorado,2014,Percent,0.773
MONTROSE COUNTY RE-1J,2010,Percent,0.738
MONTROSE COUNTY RE-1J,2011,Percent,0.751
MONTROSE COUNTY RE-1J,2012,Percent,0.77707
MONTROSE COUNTY RE-1J,2013,Percent,0.71366
MONTROSE COUNTY RE-1J,2014,Percent,0.757
PLATEAU RE-5,2010,Percent,0.938
PLATEAU RE-5,2011,Percent,1
PLATEAU RE-5,2012,Percent,1
PLATEAU RE-5,2013,Percent,1
PLATEAU RE-5,2014,Percent,1
PLATEAU VALLEY 50,2010,Percent,0.321
PLATEAU VALLEY 50,2011,Percent,0.306
PLATEAU VALLEY 50,2012,Percent,0.25
PLATEAU VALLEY 50,2013,Percent,0.30303
PLATEAU VALLEY 50,2014,Percent,0.287
YUMA SCHOOL DISTRICT 1,2010,Percent,0.903
YUMA SCHOOL DISTRICT 1,2011,Percent,0.891
YUMA SCHOOL DISTRICT 1,2012,Percent,0.85455
YUMA SCHOOL DISTRICT 1,2013,Percent,0.88333
YUMA SCHOOL DISTRICT 1,2014,Percent,0.91
