Location,TimeFrame,DataFormat,Data
ACADEMY 20,2005-2009,Currency,85060
ACADEMY 20,2006-2010,Currency,85450
ACADEMY 20,2008-2012,Currency,89615
ACADEMY 20,2007-2011,Currency,88099
ACADEMY 20,2009-2013,Currency,89953
ADAMS COUNTY 14,2005-2009,Currency,41382
ADAMS COUNTY 14,2006-2010,Currency,40740
ADAMS COUNTY 14,2008-2012,Currency,41886
ADAMS COUNTY 14,2007-2011,Currency,41430
ADAMS COUNTY 14,2009-2013,Currency,41088
ADAMS-ARAPAHOE 28J,2005-2009,Currency,43893
ADAMS-ARAPAHOE 28J,2006-2010,Currency,44007
ADAMS-ARAPAHOE 28J,2008-2012,Currency,45438
ADAMS-ARAPAHOE 28J,2007-2011,Currency,44687
ADAMS-ARAPAHOE 28J,2009-2013,Currency,45507
ARCHULETA COUNTY 50 JT,2005-2009,Currency,57732
ARCHULETA COUNTY 50 JT,2006-2010,Currency,57633
ARCHULETA COUNTY 50 JT,2008-2012,Currency,54301
ARCHULETA COUNTY 50 JT,2007-2011,Currency,61028
ARCHULETA COUNTY 50 JT,2009-2013,Currency,48818
AULT-HIGHLAND RE-9,2005-2009,Currency,49515
AULT-HIGHLAND RE-9,2006-2010,Currency,52818
AULT-HIGHLAND RE-9,2008-2012,Currency,53926
AULT-HIGHLAND RE-9,2007-2011,Currency,56000
AULT-HIGHLAND RE-9,2009-2013,Currency,53463
BENNETT 29J,2005-2009,Currency,77255
BENNETT 29J,2006-2010,Currency,78188
BENNETT 29J,2008-2012,Currency,67111
BENNETT 29J,2007-2011,Currency,68527
BENNETT 29J,2009-2013,Currency,64375
BETHUNE R-5,2005-2009,Currency,55313
BETHUNE R-5,2006-2010,Currency,57500
BETHUNE R-5,2008-2012,Currency,47143
BETHUNE R-5,2007-2011,Currency,52813
BETHUNE R-5,2009-2013,Currency,44821
BOULDER VALLEY RE 2,2005-2009,Currency,65144
BOULDER VALLEY RE 2,2006-2010,Currency,65290
BOULDER VALLEY RE 2,2008-2012,Currency,68579
BOULDER VALLEY RE 2,2007-2011,Currency,67004
BOULDER VALLEY RE 2,2009-2013,Currency,68385
BUFFALO RE-4,2005-2009,Currency,46563
BUFFALO RE-4,2006-2010,Currency,47500
BUFFALO RE-4,2008-2012,Currency,47778
BUFFALO RE-4,2007-2011,Currency,51528
BUFFALO RE-4,2009-2013,Currency,46618
Colorado,2005-2009,Currency,56222
Colorado,2006-2010,Currency,56456
Colorado,2008-2012,Currency,58244
Colorado,2007-2011,Currency,57685
Colorado,2009-2013,Currency,58433
MONTROSE COUNTY RE-1J,2005-2009,Currency,45445
MONTROSE COUNTY RE-1J,2006-2010,Currency,47107
MONTROSE COUNTY RE-1J,2008-2012,Currency,47963
MONTROSE COUNTY RE-1J,2007-2011,Currency,48047
MONTROSE COUNTY RE-1J,2009-2013,Currency,46291
PLATEAU RE-5,2005-2009,Currency,45329
PLATEAU RE-5,2006-2010,Currency,45391
PLATEAU RE-5,2008-2012,Currency,57039
PLATEAU RE-5,2007-2011,Currency,51875
PLATEAU RE-5,2009-2013,Currency,56058
PLATEAU VALLEY 50,2005-2009,Currency,56563
PLATEAU VALLEY 50,2006-2010,Currency,54083
PLATEAU VALLEY 50,2008-2012,Currency,51875
PLATEAU VALLEY 50,2007-2011,Currency,54348
PLATEAU VALLEY 50,2009-2013,Currency,47784
YUMA SCHOOL DISTRICT 1,2005-2009,Currency,38263
YUMA SCHOOL DISTRICT 1,2006-2010,Currency,37327
YUMA SCHOOL DISTRICT 1,2008-2012,Currency,42083
YUMA SCHOOL DISTRICT 1,2007-2011,Currency,42257
YUMA SCHOOL DISTRICT 1,2009-2013,Currency,40750
