Location,TimeFrame,DataFormat,Data
ACADEMY 20,2011,Number,33
ACADEMY 20,2012,Number,35
ACADEMY 20,2013,Number,341
ADAMS COUNTY 14,2011,Number,0
ADAMS COUNTY 14,2012,Number,0
ADAMS COUNTY 14,2013,Number,0
ADAMS-ARAPAHOE 28J,2011,Number,184
ADAMS-ARAPAHOE 28J,2012,Number,120
ADAMS-ARAPAHOE 28J,2013,Number,163
ARCHULETA COUNTY 50 JT,2011,Number,2
ARCHULETA COUNTY 50 JT,2012,Number,0
ARCHULETA COUNTY 50 JT,2013,Number,0
AULT-HIGHLAND RE-9,2011,Number,0
AULT-HIGHLAND RE-9,2012,Number,0
AULT-HIGHLAND RE-9,2013,Number,0
BENNETT 29J,2011,Number,0
BENNETT 29J,2012,Number,0
BENNETT 29J,2013,Number,0
BETHUNE R-5,2011,Number,0
BETHUNE R-5,2012,Number,0
BETHUNE R-5,2013,Number,0
BOULDER VALLEY RE 2,2011,Number,121
BOULDER VALLEY RE 2,2012,Number,136
BOULDER VALLEY RE 2,2013,Number,124
BUFFALO RE-4,2011,Number,0
BUFFALO RE-4,2012,Number,0
BUFFALO RE-4,2013,Number,0
Colorado,2011,Number,16221
Colorado,2012,Number,16638
Colorado,2013,Number,16215
MONTROSE COUNTY RE-1J,2011,Number,34
MONTROSE COUNTY RE-1J,2012,Number,73
MONTROSE COUNTY RE-1J,2013,Number,113
PLATEAU RE-5,2011,Number,0
PLATEAU RE-5,2012,Number,0
PLATEAU RE-5,2013,Number,0
PLATEAU VALLEY 50,2011,Number,0
PLATEAU VALLEY 50,2012,Number,0
PLATEAU VALLEY 50,2013,Number,0
YUMA SCHOOL DISTRICT 1,2011,Number,0
YUMA SCHOOL DISTRICT 1,2012,Number,0
YUMA SCHOOL DISTRICT 1,2013,Number,0
