Location,TimeFrame,DataFormat,Data
ACADEMY 20,2009,Number,22620
ACADEMY 20,2010,Number,23119
ACADEMY 20,2011,Number,23657
ACADEMY 20,2012,Number,23973
ACADEMY 20,2013,Number,24481
ACADEMY 20,2014,Number,24578
ADAMS COUNTY 14,2009,Number,7422
ADAMS COUNTY 14,2010,Number,7549
ADAMS COUNTY 14,2011,Number,7321
ADAMS COUNTY 14,2012,Number,7500
ADAMS COUNTY 14,2013,Number,7598
ADAMS COUNTY 14,2014,Number,7584
ADAMS-ARAPAHOE 28J,2009,Number,36967
ADAMS-ARAPAHOE 28J,2010,Number,38605
ADAMS-ARAPAHOE 28J,2011,Number,39696
ADAMS-ARAPAHOE 28J,2012,Number,39835
ADAMS-ARAPAHOE 28J,2013,Number,40877
ADAMS-ARAPAHOE 28J,2014,Number,41729
ARCHULETA COUNTY 50 JT,2009,Number,1517
ARCHULETA COUNTY 50 JT,2010,Number,1492
ARCHULETA COUNTY 50 JT,2011,Number,1405
ARCHULETA COUNTY 50 JT,2012,Number,1371
ARCHULETA COUNTY 50 JT,2013,Number,1323
ARCHULETA COUNTY 50 JT,2014,Number,1326
AULT-HIGHLAND RE-9,2009,Number,816
AULT-HIGHLAND RE-9,2010,Number,846
AULT-HIGHLAND RE-9,2011,Number,795
AULT-HIGHLAND RE-9,2012,Number,770
AULT-HIGHLAND RE-9,2013,Number,765
AULT-HIGHLAND RE-9,2014,Number,761
BENNETT 29J,2009,Number,1127
BENNETT 29J,2010,Number,1150
BENNETT 29J,2011,Number,1085
BENNETT 29J,2012,Number,1044
BENNETT 29J,2013,Number,1013
BENNETT 29J,2014,Number,1079
BETHUNE R-5,2009,Number,126
BETHUNE R-5,2010,Number,130
BETHUNE R-5,2011,Number,133
BETHUNE R-5,2012,Number,133
BETHUNE R-5,2013,Number,132
BETHUNE R-5,2014,Number,117
BOULDER VALLEY RE 2,2009,Number,29011
BOULDER VALLEY RE 2,2010,Number,29526
BOULDER VALLEY RE 2,2011,Number,29780
BOULDER VALLEY RE 2,2012,Number,30041
BOULDER VALLEY RE 2,2013,Number,30546
BOULDER VALLEY RE 2,2014,Number,30908
BUFFALO RE-4,2009,Number,306
BUFFALO RE-4,2010,Number,311
BUFFALO RE-4,2011,Number,309
BUFFALO RE-4,2012,Number,319
BUFFALO RE-4,2013,Number,318
BUFFALO RE-4,2014,Number,315
Colorado,2009,Number,832368
Colorado,2010,Number,843316
Colorado,2011,Number,854265
Colorado,2012,Number,863561
Colorado,2013,Number,876999
Colorado,2014,Number,889006
MONTROSE COUNTY RE-1J,2009,Number,6521
MONTROSE COUNTY RE-1J,2010,Number,6415
MONTROSE COUNTY RE-1J,2011,Number,6294
MONTROSE COUNTY RE-1J,2012,Number,6183
MONTROSE COUNTY RE-1J,2013,Number,6200
MONTROSE COUNTY RE-1J,2014,Number,6087
PLATEAU RE-5,2009,Number,163
PLATEAU RE-5,2010,Number,176
PLATEAU RE-5,2011,Number,182
PLATEAU RE-5,2012,Number,197
PLATEAU RE-5,2013,Number,196
PLATEAU RE-5,2014,Number,177
PLATEAU VALLEY 50,2009,Number,489
PLATEAU VALLEY 50,2010,Number,471
PLATEAU VALLEY 50,2011,Number,489
PLATEAU VALLEY 50,2012,Number,508
PLATEAU VALLEY 50,2013,Number,450
PLATEAU VALLEY 50,2014,Number,459
YUMA SCHOOL DISTRICT 1,2009,Number,823
YUMA SCHOOL DISTRICT 1,2010,Number,849
YUMA SCHOOL DISTRICT 1,2011,Number,829
YUMA SCHOOL DISTRICT 1,2012,Number,816
YUMA SCHOOL DISTRICT 1,2013,Number,813
YUMA SCHOOL DISTRICT 1,2014,Number,824
