Location,TimeFrame,DataFormat,Data
ACADEMY 20,2011,Percent,0.263
ACADEMY 20,2010,Percent,0.294
ACADEMY 20,2009,Percent,0.264
ADAMS COUNTY 14,2011,Percent,0.813
ADAMS COUNTY 14,2010,Percent,0.784
ADAMS COUNTY 14,2009,Percent,0.72
ADAMS-ARAPAHOE 28J,2011,Percent,0.533
ADAMS-ARAPAHOE 28J,2010,Percent,0.614
ADAMS-ARAPAHOE 28J,2009,Percent,0.601
ARCHULETA COUNTY 50 JT,2011,Percent,0.649
ARCHULETA COUNTY 50 JT,2010,Percent,0.541
ARCHULETA COUNTY 50 JT,2009,Percent,0.486
AULT-HIGHLAND RE-9,2011,Percent,0.571
AULT-HIGHLAND RE-9,2010,Percent,0.727
AULT-HIGHLAND RE-9,2009,Percent,0.762
BENNETT 29J,2011,Percent,0.186
BENNETT 29J,2010,Percent,0.379
BENNETT 29J,2009,Percent,0.262
BETHUNE R-5,2011,Percent,N/A
BETHUNE R-5,2010,Percent,N/A
BETHUNE R-5,2009,Percent,N/A
BOULDER VALLEY RE 2,2011,Percent,0.231
BOULDER VALLEY RE 2,2010,Percent,0.249
BOULDER VALLEY RE 2,2009,Percent,0.194
BUFFALO RE-4,2011,Percent,N/A
BUFFALO RE-4,2010,Percent,N/A
BUFFALO RE-4,2009,Percent,N/A
Colorado,2011,Percent,0.4
Colorado,2010,Percent,0.414
Colorado,2009,Percent,0.392
MONTROSE COUNTY RE-1J,2011,Percent,0.437
MONTROSE COUNTY RE-1J,2010,Percent,0.44
MONTROSE COUNTY RE-1J,2009,Percent,0.335
PLATEAU RE-5,2011,Percent,N/A
PLATEAU RE-5,2010,Percent,N/A
PLATEAU RE-5,2009,Percent,N/A
PLATEAU VALLEY 50,2011,Percent,N/A
PLATEAU VALLEY 50,2010,Percent,N/A
PLATEAU VALLEY 50,2009,Percent,N/A
YUMA SCHOOL DISTRICT 1,2011,Percent,0.105
YUMA SCHOOL DISTRICT 1,2010,Percent,0.522
YUMA SCHOOL DISTRICT 1,2009,Percent,0.478
