Location,TimeFrame,DataFormat,Data
ACADEMY 20,1995,Percent,0.032
ACADEMY 20,1997,Percent,0.035
ACADEMY 20,1999,Percent,0.032
ACADEMY 20,2000,Percent,0.031
ACADEMY 20,2001,Percent,0.029
ACADEMY 20,2002,Percent,0.033
ACADEMY 20,2003,Percent,0.037
ACADEMY 20,2004,Percent,0.034
ACADEMY 20,2005,Percent,0.042
ACADEMY 20,2006,Percent,0.036
ACADEMY 20,2007,Percent,0.039
ACADEMY 20,2008,Percent,0.04404
ACADEMY 20,2008,Number,855
ACADEMY 20,2009,Number,921
ACADEMY 20,2009,Percent,0.047
ACADEMY 20,2010,Number,1251
ACADEMY 20,2010,Percent,0.05754
ACADEMY 20,2011,Number,1279
ACADEMY 20,2011,Percent,0.059
ACADEMY 20,2012,Number,1401
ACADEMY 20,2012,Percent,0.064
ACADEMY 20,2013,Number,1067
ACADEMY 20,2013,Percent,0.048
ADAMS COUNTY 14,1995,Percent,0.219
ADAMS COUNTY 14,1997,Percent,0.252
ADAMS COUNTY 14,1999,Percent,0.19
ADAMS COUNTY 14,2000,Percent,0.196
ADAMS COUNTY 14,2001,Percent,0.184
ADAMS COUNTY 14,2002,Percent,0.203
ADAMS COUNTY 14,2003,Percent,0.208
ADAMS COUNTY 14,2004,Percent,0.204
ADAMS COUNTY 14,2005,Percent,0.195
ADAMS COUNTY 14,2006,Percent,0.206
ADAMS COUNTY 14,2007,Percent,0.247
ADAMS COUNTY 14,2008,Percent,0.22533
ADAMS COUNTY 14,2008,Number,1950
ADAMS COUNTY 14,2009,Number,2071
ADAMS COUNTY 14,2009,Percent,0.24
ADAMS COUNTY 14,2010,Number,1910
ADAMS COUNTY 14,2010,Percent,0.23185
ADAMS COUNTY 14,2011,Number,2629
ADAMS COUNTY 14,2011,Percent,0.312
ADAMS COUNTY 14,2012,Number,2820
ADAMS COUNTY 14,2012,Percent,0.328
ADAMS COUNTY 14,2013,Number,2310
ADAMS COUNTY 14,2013,Percent,0.264
ADAMS-ARAPAHOE 28J,1995,Percent,0.119
ADAMS-ARAPAHOE 28J,1997,Percent,0.143
ADAMS-ARAPAHOE 28J,1999,Percent,0.151
ADAMS-ARAPAHOE 28J,2000,Percent,0.146
ADAMS-ARAPAHOE 28J,2001,Percent,0.141
ADAMS-ARAPAHOE 28J,2002,Percent,0.161
ADAMS-ARAPAHOE 28J,2003,Percent,0.18
ADAMS-ARAPAHOE 28J,2004,Percent,0.182
ADAMS-ARAPAHOE 28J,2005,Percent,0.181
ADAMS-ARAPAHOE 28J,2006,Percent,0.208
ADAMS-ARAPAHOE 28J,2007,Percent,0.238
ADAMS-ARAPAHOE 28J,2008,Percent,0.18582
ADAMS-ARAPAHOE 28J,2008,Number,6983
ADAMS-ARAPAHOE 28J,2009,Number,9084
ADAMS-ARAPAHOE 28J,2009,Percent,0.234
ADAMS-ARAPAHOE 28J,2010,Number,9251
ADAMS-ARAPAHOE 28J,2010,Percent,0.23357
ADAMS-ARAPAHOE 28J,2011,Number,10363
ADAMS-ARAPAHOE 28J,2011,Percent,0.26
ADAMS-ARAPAHOE 28J,2012,Number,10828
ADAMS-ARAPAHOE 28J,2012,Percent,0.268
ADAMS-ARAPAHOE 28J,2013,Number,10934
ADAMS-ARAPAHOE 28J,2013,Percent,0.267
ARCHULETA COUNTY 50 JT,1995,Percent,0.146
ARCHULETA COUNTY 50 JT,1997,Percent,0.198
ARCHULETA COUNTY 50 JT,1999,Percent,0.169
ARCHULETA COUNTY 50 JT,2000,Percent,0.195
ARCHULETA COUNTY 50 JT,2001,Percent,0.179
ARCHULETA COUNTY 50 JT,2002,Percent,0.186
ARCHULETA COUNTY 50 JT,2003,Percent,0.162
ARCHULETA COUNTY 50 JT,2004,Percent,0.148
ARCHULETA COUNTY 50 JT,2005,Percent,0.181
ARCHULETA COUNTY 50 JT,2006,Percent,0.176
ARCHULETA COUNTY 50 JT,2007,Percent,0.166
ARCHULETA COUNTY 50 JT,2008,Percent,0.18711
ARCHULETA COUNTY 50 JT,2008,Number,328
ARCHULETA COUNTY 50 JT,2009,Number,403
ARCHULETA COUNTY 50 JT,2009,Percent,0.227
ARCHULETA COUNTY 50 JT,2010,Number,372
ARCHULETA COUNTY 50 JT,2010,Percent,0.21653
ARCHULETA COUNTY 50 JT,2011,Number,400
ARCHULETA COUNTY 50 JT,2011,Percent,0.241
ARCHULETA COUNTY 50 JT,2012,Number,402
ARCHULETA COUNTY 50 JT,2012,Percent,0.244
ARCHULETA COUNTY 50 JT,2013,Number,390
ARCHULETA COUNTY 50 JT,2013,Percent,0.239
AULT-HIGHLAND RE-9,1995,Percent,0.212
AULT-HIGHLAND RE-9,1997,Percent,0.212
AULT-HIGHLAND RE-9,1999,Percent,0.071
AULT-HIGHLAND RE-9,2000,Percent,0.07
AULT-HIGHLAND RE-9,2001,Percent,0.062
AULT-HIGHLAND RE-9,2002,Percent,0.064
AULT-HIGHLAND RE-9,2003,Percent,0.067
AULT-HIGHLAND RE-9,2004,Percent,0.063
AULT-HIGHLAND RE-9,2005,Percent,0.064
AULT-HIGHLAND RE-9,2006,Percent,0.08
AULT-HIGHLAND RE-9,2007,Percent,0.07
AULT-HIGHLAND RE-9,2008,Percent,0.07181
AULT-HIGHLAND RE-9,2008,Number,94
AULT-HIGHLAND RE-9,2009,Number,125
AULT-HIGHLAND RE-9,2009,Percent,0.091
AULT-HIGHLAND RE-9,2010,Number,168
AULT-HIGHLAND RE-9,2010,Percent,0.15356
AULT-HIGHLAND RE-9,2011,Number,140
AULT-HIGHLAND RE-9,2011,Percent,0.126
AULT-HIGHLAND RE-9,2012,Number,201
AULT-HIGHLAND RE-9,2012,Percent,0.179
AULT-HIGHLAND RE-9,2013,Number,197
AULT-HIGHLAND RE-9,2013,Percent,0.172
BENNETT 29J,1995,Percent,0.088
BENNETT 29J,1997,Percent,0.103
BENNETT 29J,1999,Percent,0.059
BENNETT 29J,2000,Percent,0.06
BENNETT 29J,2001,Percent,0.5
BENNETT 29J,2002,Percent,0.5
BENNETT 29J,2003,Percent,0.064
BENNETT 29J,2004,Percent,0.062
BENNETT 29J,2005,Percent,0.5
BENNETT 29J,2006,Percent,0.5
BENNETT 29J,2007,Percent,0.5
BENNETT 29J,2008,Percent,0.06732
BENNETT 29J,2008,Number,83
BENNETT 29J,2009,Number,95
BENNETT 29J,2009,Percent,0.5
BENNETT 29J,2010,Number,90
BENNETT 29J,2010,Percent,0.06982
BENNETT 29J,2011,Number,176
BENNETT 29J,2011,Percent,0.5
BENNETT 29J,2012,Number,180
BENNETT 29J,2012,Percent,0.5
BENNETT 29J,2013,Number,151
BENNETT 29J,2013,Percent,0.112
BETHUNE R-5,1995,Percent,0.092
BETHUNE R-5,1997,Percent,0.108
BETHUNE R-5,1999,Percent,0.325
BETHUNE R-5,2000,Percent,0.373
BETHUNE R-5,2001,Percent,0.325
BETHUNE R-5,2002,Percent,0.354
BETHUNE R-5,2003,Percent,0.291
BETHUNE R-5,2004,Percent,0.245
BETHUNE R-5,2005,Percent,0.318
BETHUNE R-5,2006,Percent,0.317
BETHUNE R-5,2007,Percent,0.306
BETHUNE R-5,2008,Percent,0.30435
BETHUNE R-5,2008,Number,28
BETHUNE R-5,2009,Number,31
BETHUNE R-5,2009,Percent,0.326
BETHUNE R-5,2010,Number,25
BETHUNE R-5,2010,Percent,0.21008
BETHUNE R-5,2011,Number,34
BETHUNE R-5,2011,Percent,0.276
BETHUNE R-5,2012,Number,28
BETHUNE R-5,2012,Percent,0.237
BETHUNE R-5,2013,Number,28
BETHUNE R-5,2013,Percent,0.235
