Location,TimeFrame,DataFormat,Data
ACADEMY 20,2009,Percent,0.075
ACADEMY 20,2011,Percent,0.079
ACADEMY 20,2012,Number,1873
ACADEMY 20,2012,Percent,0.078
ACADEMY 20,2013,Percent,0.07912
ACADEMY 20,2010,Percent,0.07829
ACADEMY 20,2014,Number,1952
ACADEMY 20,2014,Percent,0.07942
ADAMS COUNTY 14,2009,Percent,0.105
ADAMS COUNTY 14,2011,Percent,0.114
ADAMS COUNTY 14,2012,Number,841
ADAMS COUNTY 14,2012,Percent,0.112
ADAMS COUNTY 14,2013,Percent,0.11858
ADAMS COUNTY 14,2010,Percent,0.10677
ADAMS COUNTY 14,2014,Number,871
ADAMS COUNTY 14,2014,Percent,0.11485
ADAMS-ARAPAHOE 28J,2009,Percent,0.105
ADAMS-ARAPAHOE 28J,2011,Percent,0.099
ADAMS-ARAPAHOE 28J,2012,Number,4104
ADAMS-ARAPAHOE 28J,2012,Percent,0.103
ADAMS-ARAPAHOE 28J,2013,Percent,0.10289
ADAMS-ARAPAHOE 28J,2010,Percent,0.10107
ADAMS-ARAPAHOE 28J,2014,Number,4417
ADAMS-ARAPAHOE 28J,2014,Percent,0.10585
ARCHULETA COUNTY 50 JT,2009,Percent,0.075
ARCHULETA COUNTY 50 JT,2011,Percent,0.078
ARCHULETA COUNTY 50 JT,2012,Number,116
ARCHULETA COUNTY 50 JT,2012,Percent,0.085
ARCHULETA COUNTY 50 JT,2013,Percent,0.08314
ARCHULETA COUNTY 50 JT,2010,Percent,0.07574
ARCHULETA COUNTY 50 JT,2014,Number,112
ARCHULETA COUNTY 50 JT,2014,Percent,0.08446
AULT-HIGHLAND RE-9,2009,Percent,0.121
AULT-HIGHLAND RE-9,2011,Percent,0.114
AULT-HIGHLAND RE-9,2012,Number,81
AULT-HIGHLAND RE-9,2012,Percent,0.105
AULT-HIGHLAND RE-9,2013,Percent,0.10327
AULT-HIGHLAND RE-9,2010,Percent,0.12175
AULT-HIGHLAND RE-9,2014,Number,82
AULT-HIGHLAND RE-9,2014,Percent,0.10775
BENNETT 29J,2009,Percent,0.114
BENNETT 29J,2011,Percent,0.1
BENNETT 29J,2012,Number,129
BENNETT 29J,2012,Percent,0.124
BENNETT 29J,2013,Percent,0.1155
BENNETT 29J,2010,Percent,0.09739
BENNETT 29J,2014,Number,151
BENNETT 29J,2014,Percent,0.13994
BETHUNE R-5,2009,Percent,0.079
BETHUNE R-5,2011,Percent,0.038
BETHUNE R-5,2012,Number,6
BETHUNE R-5,2012,Percent,0.045
BETHUNE R-5,2013,Percent,0.05303
BETHUNE R-5,2010,Percent,0.06923
BETHUNE R-5,2014,Number,8
BETHUNE R-5,2014,Percent,0.06838
BOULDER VALLEY RE 2,2009,Percent,0.093
BOULDER VALLEY RE 2,2011,Percent,0.098
BOULDER VALLEY RE 2,2012,Number,2850
BOULDER VALLEY RE 2,2012,Percent,0.095
BOULDER VALLEY RE 2,2013,Percent,0.09458
BOULDER VALLEY RE 2,2010,Percent,0.09344
BOULDER VALLEY RE 2,2014,Number,3025
BOULDER VALLEY RE 2,2014,Percent,0.09787
BUFFALO RE-4,2009,Percent,0.065
BUFFALO RE-4,2011,Percent,0.071
BUFFALO RE-4,2012,Number,32
BUFFALO RE-4,2012,Percent,0.1
BUFFALO RE-4,2013,Percent,0.08805
BUFFALO RE-4,2010,Percent,0.06431
BUFFALO RE-4,2014,Number,32
BUFFALO RE-4,2014,Percent,0.10159
Colorado,2009,Percent,0.096
Colorado,2011,Percent,0.097
Colorado,2012,Number,84410
Colorado,2012,Percent,0.098
Colorado,2013,Percent,0.10056
Colorado,2010,Percent,0.096
Colorado,2014,Number,89602
Colorado,2014,Percent,0.10079
MONTROSE COUNTY RE-1J,2009,Percent,0.094
MONTROSE COUNTY RE-1J,2011,Percent,0.098
MONTROSE COUNTY RE-1J,2012,Number,639
MONTROSE COUNTY RE-1J,2012,Percent,0.103
MONTROSE COUNTY RE-1J,2013,Percent,0.10387
MONTROSE COUNTY RE-1J,2010,Percent,0.09665
MONTROSE COUNTY RE-1J,2014,Number,680
MONTROSE COUNTY RE-1J,2014,Percent,0.11171
PLATEAU RE-5,2009,Percent,0.129
PLATEAU RE-5,2011,Percent,0.121
PLATEAU RE-5,2012,Number,24
PLATEAU RE-5,2012,Percent,0.122
PLATEAU RE-5,2013,Percent,0.12755
PLATEAU RE-5,2010,Percent,0.125
PLATEAU RE-5,2014,Number,25
PLATEAU RE-5,2014,Percent,0.14124
PLATEAU VALLEY 50,2009,Percent,0.065
PLATEAU VALLEY 50,2011,Percent,0.082
PLATEAU VALLEY 50,2012,Number,30
PLATEAU VALLEY 50,2012,Percent,0.059
PLATEAU VALLEY 50,2013,Percent,0.05556
PLATEAU VALLEY 50,2010,Percent,0.07431
PLATEAU VALLEY 50,2014,Number,39
PLATEAU VALLEY 50,2014,Percent,0.08497
YUMA SCHOOL DISTRICT 1,2009,Percent,0.091
YUMA SCHOOL DISTRICT 1,2011,Percent,0.095
YUMA SCHOOL DISTRICT 1,2012,Number,87
YUMA SCHOOL DISTRICT 1,2012,Percent,0.107
YUMA SCHOOL DISTRICT 1,2013,Percent,0.10455
YUMA SCHOOL DISTRICT 1,2010,Percent,0.10247
YUMA SCHOOL DISTRICT 1,2014,Number,85
YUMA SCHOOL DISTRICT 1,2014,Percent,0.10316
