Location,TimeFrame,DataFormat,Data
ACADEMY 20,2009,Percent,0.014
ACADEMY 20,2011,Percent,0.011
ACADEMY 20,2012,Percent,0.01072
ACADEMY 20,2013,Percent,0.01246
ACADEMY 20,2014,Percent,0.0273
ADAMS COUNTY 14,2009,Percent,0.669
ADAMS COUNTY 14,2011,Percent,0.712
ADAMS COUNTY 14,2012,Percent,0.71053
ADAMS COUNTY 14,2013,Percent,0.66096
ADAMS COUNTY 14,2014,Percent,0.66126
ADAMS-ARAPAHOE 28J,2009,Percent,0.315
ADAMS-ARAPAHOE 28J,2011,Percent,0.352
ADAMS-ARAPAHOE 28J,2012,Percent,0.3576
ADAMS-ARAPAHOE 28J,2013,Percent,0.35509
ADAMS-ARAPAHOE 28J,2014,Percent,0.35278
ARCHULETA COUNTY 50 JT,2009,Percent,0.504
ARCHULETA COUNTY 50 JT,2011,Percent,0.671
ARCHULETA COUNTY 50 JT,2012,Percent,0.69292
ARCHULETA COUNTY 50 JT,2013,Percent,0.7037
ARCHULETA COUNTY 50 JT,2014,Percent,0.71493
AULT-HIGHLAND RE-9,2009,Percent,0.449
AULT-HIGHLAND RE-9,2011,Percent,0.486
AULT-HIGHLAND RE-9,2012,Percent,0.46623
AULT-HIGHLAND RE-9,2013,Percent,0.44706
AULT-HIGHLAND RE-9,2014,Percent,0.42313
BENNETT 29J,2009,Percent,0.374
BENNETT 29J,2011,Percent,0.347
BENNETT 29J,2012,Percent,0.36782
BENNETT 29J,2013,Percent,0.39783
BENNETT 29J,2014,Percent,0.40964
BETHUNE R-5,2009,Percent,0.167
BETHUNE R-5,2011,Percent,0.143
BETHUNE R-5,2012,Percent,0.33835
BETHUNE R-5,2013,Percent,0.17424
BETHUNE R-5,2014,Percent,0.13675
BOULDER VALLEY RE 2,2009,Percent,0.067
BOULDER VALLEY RE 2,2011,Percent,0.072
BOULDER VALLEY RE 2,2012,Percent,0.07809
BOULDER VALLEY RE 2,2013,Percent,0.07333
BOULDER VALLEY RE 2,2014,Percent,0.0805
BUFFALO RE-4,2009,Percent,0.15
BUFFALO RE-4,2011,Percent,0.168
BUFFALO RE-4,2012,Percent,0.16928
BUFFALO RE-4,2013,Percent,0.16038
BUFFALO RE-4,2014,Percent,0.12698
Colorado,2009,Percent,0.216
Colorado,2011,Percent,0.224
Colorado,2012,Percent,0.22907
Colorado,2013,Percent,0.23178
Colorado,2014,Percent,0.23556
MONTROSE COUNTY RE-1J,2009,Percent,0.373
MONTROSE COUNTY RE-1J,2011,Percent,0.43
MONTROSE COUNTY RE-1J,2012,Percent,0.41938
MONTROSE COUNTY RE-1J,2013,Percent,0.33919
MONTROSE COUNTY RE-1J,2014,Percent,0.33892
PLATEAU RE-5,2009,Percent,0.055
PLATEAU RE-5,2011,Percent,0.077
PLATEAU RE-5,2012,Percent,0.05584
PLATEAU RE-5,2013,Percent,0
PLATEAU RE-5,2014,Percent,0.0904
PLATEAU VALLEY 50,2009,Percent,0.235
PLATEAU VALLEY 50,2011,Percent,0.133
PLATEAU VALLEY 50,2012,Percent,0.1063
PLATEAU VALLEY 50,2013,Percent,0.12222
PLATEAU VALLEY 50,2014,Percent,0.11547
YUMA SCHOOL DISTRICT 1,2009,Percent,0.322
YUMA SCHOOL DISTRICT 1,2011,Percent,0.152
YUMA SCHOOL DISTRICT 1,2012,Percent,0.25123
YUMA SCHOOL DISTRICT 1,2013,Percent,0.20049
YUMA SCHOOL DISTRICT 1,2014,Percent,0.28519
